epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.47902,0.67518,0.55238,1,0.68054,0.00041675,0.00041675,0.00041675
2,7.69181,0.61094,0.67619,1,0.57239,0.000848066,0.000848066,0.000848066
3,12.0807,0.56546,0.61905,1,0.77112,0.00127724,0.00127724,0.00127724
4,15.2118,0.60116,0.69524,1,0.67096,0.00165462,0.00165462,0.00165462
5,18.9786,0.59809,0.75238,1,0.63928,0.0016505,0.0016505,0.0016505
6,23.3863,0.5808,0.73333,1,0.60583,0.00164637,0.00164637,0.00164637
7,26.9681,0.52478,0.72381,1,0.55017,0.00164225,0.00164225,0.00164225
8,30.1235,0.49237,0.78095,1,0.44861,0.00163812,0.00163812,0.00163812
9,33.2627,0.47312,0.74286,1,0.77246,0.00163399,0.00163399,0.00163399
10,37.6151,0.48674,0.7619,1,0.6748,0.00162987,0.00162987,0.00162987
11,40.8055,0.52392,0.72381,1,0.5274,0.00162574,0.00162574,0.00162574
12,43.9837,0.47944,0.75238,1,0.54431,0.00162162,0.00162162,0.00162162
13,47.1446,0.49764,0.80952,1,0.49713,0.00161749,0.00161749,0.00161749
14,51.5416,0.4907,0.82857,1,0.40295,0.00161336,0.00161336,0.00161336
15,54.7171,0.42875,0.7619,1,0.43079,0.00160924,0.00160924,0.00160924
16,58.0456,0.46726,0.80952,1,0.5791,0.00160511,0.00160511,0.00160511
17,61.5243,0.39624,0.80952,1,0.52795,0.00160099,0.00160099,0.00160099
18,65.5384,0.39704,0.75238,1,0.54822,0.00159686,0.00159686,0.00159686
19,68.6875,0.41965,0.79048,1,0.58246,0.00159274,0.00159274,0.00159274
20,71.9583,0.3984,0.78095,1,0.41223,0.00158861,0.00158861,0.00158861
21,76.0938,0.28623,0.79048,1,0.5788,0.00158448,0.00158448,0.00158448
22,79.382,0.36728,0.8,1,0.60583,0.00158036,0.00158036,0.00158036
23,82.7438,0.35513,0.80952,1,0.61243,0.00157623,0.00157623,0.00157623
24,86.4131,0.32834,0.82857,1,0.53491,0.00157211,0.00157211,0.00157211
25,92.0822,0.33026,0.72381,1,0.58929,0.00156798,0.00156798,0.00156798
26,97.5287,0.30598,0.78095,1,0.59329,0.00156385,0.00156385,0.00156385
27,102.454,0.34146,0.82857,1,0.59488,0.00155973,0.00155973,0.00155973
28,105.675,0.38862,0.78095,1,0.69043,0.0015556,0.0015556,0.0015556
29,108.81,0.32732,0.81905,1,0.50378,0.00155148,0.00155148,0.00155148
30,112.22,0.30394,0.82857,1,0.43585,0.00154735,0.00154735,0.00154735
31,116.415,0.28425,0.8381,1,0.5687,0.00154323,0.00154323,0.00154323
32,119.654,0.28968,0.7619,1,0.6853,0.0015391,0.0015391,0.0015391
33,122.827,0.34435,0.79048,1,0.40082,0.00153497,0.00153497,0.00153497
34,126.66,0.27141,0.75238,1,0.66541,0.00153085,0.00153085,0.00153085
35,130.345,0.29147,0.82857,1,0.35962,0.00152672,0.00152672,0.00152672
36,133.59,0.25961,0.7619,1,0.60962,0.0015226,0.0015226,0.0015226
37,136.776,0.29933,0.82857,1,0.48306,0.00151847,0.00151847,0.00151847
38,141.164,0.27017,0.81905,1,0.47513,0.00151434,0.00151434,0.00151434
39,144.342,0.30625,0.81905,1,0.54669,0.00151022,0.00151022,0.00151022
40,147.581,0.25346,0.79048,1,0.57355,0.00150609,0.00150609,0.00150609
41,150.755,0.27764,0.77143,1,0.70874,0.00150197,0.00150197,0.00150197
42,155.088,0.27776,0.71429,1,0.77216,0.00149784,0.00149784,0.00149784
43,158.332,0.21677,0.77143,1,0.53357,0.00149372,0.00149372,0.00149372
44,161.54,0.23998,0.8,1,0.47556,0.00148959,0.00148959,0.00148959
45,166.065,0.23995,0.79048,1,0.48663,0.00148546,0.00148546,0.00148546
46,169.801,0.25298,0.78095,1,0.91589,0.00148134,0.00148134,0.00148134
47,172.938,0.28733,0.81905,1,0.83899,0.00147721,0.00147721,0.00147721
48,176.253,0.24948,0.8,1,0.55225,0.00147309,0.00147309,0.00147309
49,180.566,0.24447,0.73333,1,0.927,0.00146896,0.00146896,0.00146896
50,183.707,0.26063,0.81905,1,0.58405,0.00146483,0.00146483,0.00146483
51,186.974,0.2255,0.81905,1,0.44513,0.00146071,0.00146071,0.00146071
52,190.497,0.21737,0.82857,1,0.48746,0.00145658,0.00145658,0.00145658
53,194.583,0.22121,0.80952,1,0.43768,0.00145246,0.00145246,0.00145246
54,197.769,0.19465,0.80952,1,0.65869,0.00144833,0.00144833,0.00144833
55,200.936,0.21599,0.8,1,0.58614,0.00144421,0.00144421,0.00144421
56,205.055,0.17815,0.80952,1,0.54016,0.00144008,0.00144008,0.00144008
57,208.598,0.22228,0.80952,1,0.80603,0.00143595,0.00143595,0.00143595
58,211.814,0.25595,0.80952,1,0.64331,0.00143183,0.00143183,0.00143183
59,215.044,0.22519,0.81905,1,0.62071,0.0014277,0.0014277,0.0014277
